epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.747,3.24328,6.41929,4.27197,2e-05,0.01333,3e-05,1e-05,3.48888,30.736,4.14178,0.000173318,0.000173318,0.000173318
2,413.688,3.22276,6.03147,4.0411,0.00087,0.15342,0.0019,0.00051,3.44691,23.0732,4.0247,0.0003452,0.0003452,0.0003452
3,634.134,2.79375,5.4257,3.57662,0.48133,0.06532,0.01795,0.00454,3.34884,53.5644,4.11904,0.00051361,0.00051361,0.00051361
4,852.134,2.37344,4.76162,2.99882,0.55017,0.08873,0.04993,0.02585,2.4288,6.53479,2.73285,0.000510378,0.000510378,0.000510378
5,1070.01,2.15094,4.27692,2.6717,0.33153,0.08392,0.0458,0.02953,2.09187,5.27839,2.62668,0.00050517,0.00050517,0.00050517
6,1288.2,1.89283,3.86346,2.38385,0.34996,0.12542,0.07581,0.05254,1.81883,4.45993,2.08777,0.000499963,0.000499963,0.000499963
7,1506.92,1.74576,3.56261,2.19211,0.16091,0.12642,0.08246,0.05471,1.64969,3.84115,1.88978,0.000494756,0.000494756,0.000494756
8,1725.44,1.54841,3.31899,2.00282,0.15088,0.24693,0.10991,0.07422,1.48207,3.47376,1.7153,0.000489548,0.000489548,0.000489548
9,1956.64,1.48801,3.09125,1.8998,0.17914,0.30029,0.13074,0.08714,1.39433,3.14953,1.61093,0.000484341,0.000484341,0.000484341
10,2186.65,1.41339,2.93443,1.81081,0.14658,0.34424,0.14694,0.10426,1.29745,2.98894,1.51812,0.000479133,0.000479133,0.000479133
11,2405.83,1.30874,2.82549,1.70646,0.27567,0.23872,0.15352,0.11343,1.32823,2.94859,1.4909,0.000473926,0.000473926,0.000473926
12,2625.56,1.30282,2.75284,1.67171,0.12924,0.32128,0.12677,0.09113,1.30522,2.71173,1.4898,0.000468719,0.000468719,0.000468719
13,2844.23,1.32892,2.68737,1.66653,0.15792,0.41125,0.17127,0.12875,1.24067,2.72704,1.42639,0.000463511,0.000463511,0.000463511
14,3063.4,1.28877,2.5952,1.65852,0.20873,0.34261,0.18541,0.13807,1.16208,2.46957,1.36166,0.000458304,0.000458304,0.000458304
15,3282,1.23086,2.50954,1.57597,0.24714,0.32315,0.19709,0.13952,1.17614,2.37373,1.37173,0.000453096,0.000453096,0.000453096
16,3506.34,1.21851,2.46407,1.5593,0.18572,0.41864,0.22069,0.16171,1.16248,2.38886,1.39077,0.000447889,0.000447889,0.000447889
17,3726.52,1.1938,2.4138,1.51196,0.23223,0.37134,0.21358,0.15488,1.16755,2.39217,1.34352,0.000442682,0.000442682,0.000442682
18,3945.38,1.14065,2.35531,1.50149,0.20591,0.4173,0.2305,0.17146,1.09266,2.2617,1.27527,0.000437474,0.000437474,0.000437474
19,4165.27,1.15138,2.32282,1.49354,0.18284,0.38296,0.23635,0.1821,1.07142,2.1973,1.25457,0.000432267,0.000432267,0.000432267
20,4383.35,1.14867,2.31935,1.48289,0.29785,0.36624,0.24647,0.18136,1.09698,2.15641,1.28572,0.000427059,0.000427059,0.000427059
21,4603.87,1.11027,2.23884,1.45485,0.32016,0.42986,0.23944,0.17817,1.08164,2.11232,1.25407,0.000421852,0.000421852,0.000421852
22,4824.8,1.07911,2.17427,1.41747,0.26049,0.40247,0.28271,0.21257,1.06166,1.99857,1.2527,0.000416645,0.000416645,0.000416645
23,5046.37,1.08802,2.19727,1.42296,0.23626,0.46897,0.28955,0.22019,1.04999,2.03859,1.21926,0.000411437,0.000411437,0.000411437
24,5265.46,1.06533,2.149,1.38504,0.24194,0.43845,0.29416,0.20863,1.06011,2.047,1.24193,0.00040623,0.00040623,0.00040623
25,5485.94,1.05834,2.13415,1.39083,0.23017,0.46924,0.26095,0.1962,1.01891,2.01989,1.19456,0.000401022,0.000401022,0.000401022
26,5706.18,1.02146,2.07921,1.3773,0.22853,0.47656,0.30773,0.22782,1.06508,1.93985,1.20127,0.000395815,0.000395815,0.000395815
27,5925.31,0.99069,2.06348,1.32984,0.1957,0.51807,0.26908,0.20315,0.96982,1.94344,1.14412,0.000390608,0.000390608,0.000390608
28,6145.4,1.00833,2.02972,1.35154,0.24724,0.50551,0.30619,0.22421,0.98385,1.91794,1.17586,0.0003854,0.0003854,0.0003854
29,6364.41,0.98585,2.01617,1.33303,0.34548,0.38593,0.32385,0.2399,0.96723,1.90812,1.17037,0.000380193,0.000380193,0.000380193
30,6583.18,0.97372,2.00058,1.30029,0.3514,0.49515,0.33091,0.23603,0.94808,1.83105,1.16019,0.000374985,0.000374985,0.000374985
31,6800.91,0.98225,1.9631,1.33169,0.33762,0.43434,0.31161,0.24003,0.96692,1.85827,1.15188,0.000369778,0.000369778,0.000369778
32,7021.99,0.95166,1.936,1.29377,0.42879,0.351,0.29729,0.23478,0.92014,1.87559,1.12116,0.000364571,0.000364571,0.000364571
33,7249.91,0.9542,1.91818,1.30299,0.25431,0.5594,0.31375,0.23583,0.92381,1.79569,1.12757,0.000359363,0.000359363,0.000359363
34,7479.47,0.96953,1.94899,1.29127,0.31259,0.38016,0.32126,0.24319,0.93544,1.78611,1.13768,0.000354156,0.000354156,0.000354156
35,7700.31,0.95669,1.90367,1.27417,0.4069,0.3467,0.33204,0.24286,0.99801,1.79181,1.15399,0.000348948,0.000348948,0.000348948
36,7921.86,0.99466,1.93174,1.30018,0.313,0.4643,0.31834,0.23025,0.96692,1.82736,1.14533,0.000343741,0.000343741,0.000343741
37,8149.08,0.95213,1.89047,1.29674,0.3787,0.4166,0.30047,0.22807,0.89862,1.86408,1.10431,0.000338534,0.000338534,0.000338534
38,8381.42,0.922,1.89473,1.27817,0.31839,0.4841,0.32439,0.25346,0.90497,1.80719,1.10532,0.000333326,0.000333326,0.000333326
39,8604.74,0.95105,1.90103,1.28946,0.28563,0.43119,0.35195,0.26961,0.88679,1.77371,1.10943,0.000328119,0.000328119,0.000328119
40,8823.86,0.90748,1.84775,1.24346,0.29046,0.43272,0.3778,0.29111,0.89287,1.72488,1.10291,0.000322911,0.000322911,0.000322911
