epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.119,3.06896,4.90435,4.25532,0,0,0,0,2.23921,5.43949,4.15467,0.00011572,0.00011572,0.00011572
2,404.746,3.01581,4.85375,4.18734,0.0002,0.07792,0.0028,0.00165,2.23844,5.43537,4.12811,0.000234357,0.000234357,0.000234357
3,583.564,2.99016,4.7853,4.12511,0.00046,0.33766,0.08517,0.0553,2.31011,5.41109,3.99307,0.000350598,0.000350598,0.000350598
4,766.325,3.08525,4.696,4.04992,0.00068,0.41558,0.02205,0.00498,2.60259,6.43886,3.73592,0.000464444,0.000464444,0.000464444
5,947.772,2.9012,4.53856,3.95162,0.45485,0.07792,0.02632,0.00683,2.42015,7.75483,3.71047,0.00050517,0.00050517,0.00050517
6,1142.13,2.86584,4.36931,3.80369,0.45648,0.06494,0.01146,0.00258,2.67073,6.35787,3.56193,0.000499963,0.000499963,0.000499963
7,1334.23,2.85178,4.32715,3.65382,0.76635,0.06494,0.04753,0.01452,2.57599,6.40184,3.65165,0.000494756,0.000494756,0.000494756
8,1515.67,2.69197,4.16107,3.5046,0.29211,0.21212,0.09581,0.03664,2.31319,4.73074,3.63361,0.000489548,0.000489548,0.000489548
